Country!Year!TotalCO2(Tonnes)!Population!PopulationString!emiperpop
Angola!1973!2.6247!6323057!6,323,057!4.15099848063998e-07
Angola!1974!2.6874!6475333!6,475,333!4.15021127098792e-07
Angola!1975!2.3361!6637628!6,637,628!3.51948015164453e-07
Angola!1976!2.1002!6808733!6,808,733!3.08456800993665e-07
Angola!1977!1.6902!6989550!6,989,550!2.41818142798893e-07
Angola!1978!2.7879!7184444!7,184,444!3.88046729851329e-07
Angola!1979!2.7579!7399204!7,399,204!3.72729282771498e-07
Angola!1980!2.8009!7637141!7,637,141!3.66747189818808e-07
Angola!1981!2.6746!7901870!7,901,870!3.38476841557758e-07
Angola!1982!2.3446!8190093!8,190,093!2.86272695560356e-07
Angola!1983!2.4599!8489864!8,489,864!2.89745513002328e-07
Angola!1984!2.4559!8784753!8,784,753!2.79563921717549e-07
Angola!1985!3.0559!9063646!9,063,646!3.37160122979207e-07
Angola!1986!3.0159!9320678!9,320,678!3.2357088186074e-07
Angola!1987!3.0959!9561022!9,561,022!3.23804296235277e-07
Angola!1988!3.8083!9798055!9,798,055!3.88679181735559e-07
Angola!1989!3.9083!10051133!10,051,133!3.88841735553594e-07
Angola!1990!6.4579!10333844!10,333,844!6.24927181018022e-07
Angola!1991!6.6611!10652727!10,652,727!6.2529528823934e-07
Angola!1992!6.4589!11002758!11,002,758!5.87025543959069e-07
Angola!1993!6.9997!11372156!11,372,156!6.15512133319311e-07
Angola!1994!6.7822!11743432!11,743,432!5.77531338368545e-07
Angola!1995!10.8677!12104952!12,104,952!8.97789598835253e-07
Angola!1996!11.4655!12451945!12,451,945!9.20779846040117e-07
Angola!1997!11.784!12791388!12,791,388!9.21244825033843e-07
Angola!1998!11.7163!13137542!13,137,542!8.91818271637114e-07
Angola!1999!12.8107!13510616!13,510,616!9.4819510820232e-07
Angola!2000!12.825!13924930!13,924,930!9.21010015849272e-07
Angola!2001!13.4909!14385283!14,385,283!9.37826527291816e-07
Angola!2002!14.3113!14886574!14,886,574!9.613561857819e-07
Angola!2003!18.688!15421075!15,421,075!1.21184807155143e-06
