Year,Kick,Team,Opponent,Kicker,Position,Keeper,Scored
2002,3,Spain,South Korea,Xavi,Midfielder,Lee,TRUE
2002,4,South Korea,Spain,Ahn,Forward,Casillas,TRUE
2002,4,Spain,South Korea,Joaquín,Midfielder,Lee,FALSE
2002,5,South Korea,Spain,Hong,Defender,Casillas,TRUE
2006,1,Ukraine,Switzerland,Shevchenko,Forward,Zuberbühler,FALSE
2006,1,Switzerland,Ukraine,Strella,Forward,Shovkovskiy,FALSE
2006,2,Ukraine,Switzerland,Milevskiy,Forward,Zuberbühler,TRUE
2006,2,Switzerland,Ukraine,Barnetta,Midfielder,Shovkovskiy,FALSE
2006,3,Ukraine,Switzerland,Rebrov,Forward,Zuberbühler,TRUE
2006,3,Switzerland,Ukraine,Cabanas,Midfielder,Shovkovskiy,FALSE
2006,4,Ukraine,Switzerland,Husyev,Defender,Zuberbühler,TRUE
2006,1,Germany,Argentina,Neuville,Forward,Franco,TRUE
2006,1,Argentina,Germany,Cruz,Forward,Lehmann,TRUE
2006,2,Germany,Argentina,Ballack,Midfielder,Franco,TRUE
2006,2,Argentina,Germany,Ayala,Defender,Lehmann,TRUE
2006,3,Germany,Argentina,Podolski,Forward,Franco,TRUE
2006,3,Argentina,Germany,Rodríguez,Midfielder,Lehmann,TRUE
2006,4,Germany,Argentina,Borowski,Midfielder,Franco,TRUE
2006,4,Argentina,Germany,Cambiasso,Midfielder,Lehmann,TRUE
2006,1,Portugal,England,Simão,Forward,Robinson,TRUE
2006,1,England,Portugal,Lampard,Midfielder,Ricardo,FALSE
2006,2,Portugal,England,Viana,Midfielder,Robinson,FALSE
2006,2,England,Portugal,Hargreaves,Midfielder,Ricardo,TRUE
2006,3,Portugal,England,Petit,Midfielder,Robinson,FALSE
2006,3,England,Portugal,Gerrard,Midfielder,Ricardo,FALSE
2006,4,Portugal,England,Postiga,Forward,Robinson,TRUE
2006,4,England,Portugal,Carragher,Defender,Ricardo,FALSE
2006,5,Portugal,England,Ronaldo,Midfielder,Robinson,TRUE
2006,1,Italy,France,Pirlo,Midfielder,Barthez,TRUE
2006,1,France,Italy,Wiltord,Forward,Buffon,TRUE
2006,2,Italy,France,Materazzi,Defender,Barthez,TRUE
2006,2,France,Italy,Trezeguet,Forward,Buffon,FALSE
2006,3,Italy,France,De Rossi,Midfielder,Barthez,TRUE
2006,3,France,Italy,Abidal,Defender,Buffon,TRUE
2006,4,Italy,France,Del Piero,Forward,Barthez,TRUE
2006,4,France,Italy,Sagnol,Defender,Buffon,TRUE
2006,5,Italy,France,Grosso,Defender,Barthez,TRUE
2010,1,Paraguay,Japan,Barreto,Midfielder,Kawashima,TRUE
2010,1,Japan,Paraguay,End?,Midfielder,Villar,TRUE
2010,2,Paraguay,Japan,Barrios,Forward,Kawashima,TRUE
2010,2,Japan,Paraguay,Hasebe,Midfielder,Villar,TRUE
2010,3,Paraguay,Japan,Riveros,Midfielder,Kawashima,TRUE
2010,3,Japan,Paraguay,Komano,Defender,Villar,FALSE
2010,4,Paraguay,Japan,Valdez,Forward,Kawashima,TRUE
2010,4,Japan,Paraguay,Honda,Forward,Villar,TRUE
2010,5,Paraguay,Japan,Cardozo,Forward,Kawashima,TRUE
2010,1,Uruguay,Ghana,Forlán,Forward,Kingson,TRUE
2010,1,Ghana,Uruguay,Gyan,Forward,Muslera,TRUE
2010,2,Uruguay,Ghana,Victorino,Defender,Kingson,TRUE
2010,2,Ghana,Uruguay,Appiah,Midfielder,Muslera,TRUE
2010,3,Uruguay,Ghana,Scotti,Defender,Kingson,TRUE
2010,3,Ghana,Uruguay,Mensah,Defender,Muslera,FALSE
2010,4,Uruguay,Ghana,Pereira,Defender,Kingson,FALSE
2010,4,Ghana,Uruguay,Adiyiah,Forward,Muslera,FALSE
2010,5,Uruguay,Ghana,Abreu,Forward,Kingson,TRUE
2014,1,Brasil,Chile,Luiz,Defender,Bravo,TRUE
2014,1,Chile,Brasil,Pinilla,Forward,Júlio César,FALSE
2014,2,Brasil,Chile,Willian,Midfielder,Bravo,FALSE
2014,2,Chile,Brasil,Sánchez,Forward,Júlio César,FALSE
2014,3,Brasil,Chile,Marcelo,Defender,Bravo,TRUE
2014,3,Chile,Brasil,Aránguiz,Midfielder,Júlio César,TRUE
2014,4,Brasil,Chile,Hulk,Midfielder,Bravo,FALSE
2014,4,Chile,Brasil,Díaz,Midfielder,Júlio César,TRUE
2014,5,Brasil,Chile,Neymar,Midfielder,Bravo,TRUE
2014,5,Chile,Brasil,Jara,Defender,Júlio César,FALSE
2014,1,Costa Rica,Greece,Borges,Midfielder,Karnezis,TRUE
